player_id,season,league,team,regular_season,row_count,sources,action,conflict_fields,chosen_sources
2025-027-lynden-lakovic,2024-25,whl,moosejawwarriors,true,2,eliteprospects_pdf; wikipedia-career,merged,,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-029-mason-west,2024-25,ushl,fargoforce,true,2,eliteprospects_pdf; wikipedia-career,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-031-henry-brzustewicz,2024-25,ohl,londonknights,true,2,eliteprospects_pdf; wikipedia-career,merged,,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-033-haoxi-wang,2024-25,ohl,oshawagenerals,true,2,eliteprospects_pdf; wikipedia-career,merged,,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-033-haoxi-wang,2024-25,ojhl,kingrebellion,true,2,eliteprospects_pdf; wikipedia-career,merged,,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-046-max-psenicka,2024-25,whl,portlandwinterhawks,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats
2025-047-alexei-medvedev,2024-25,ohl,londonknights,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats; goalie_minutes:open-stats; goals_against:open-stats; save_percentage:open-stats; goals_against_average:open-stats; wins:open-stats; losses:open-stats; ties:open-stats; shutouts:open-stats
2025-057-matthew-gard,2024-25,whl,reddeerrebels,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats
2025-066-nathan-behm,2024-25,whl,kamloopsblazers,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats
2025-083-tommy-lafreniere,2024-25,whl,kamloopsblazers,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats
2025-099-trenten-bennett,2024-25,cchl,kemptville73s,true,2,eliteprospects_pdf; wikipedia,merged_with_conflicts,games,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:wikipedia; assists:wikipedia; points:wikipedia; save_percentage:eliteprospects_pdf; goals_against_average:eliteprospects_pdf; shutouts:eliteprospects_pdf
2025-102-adam-benak,2024-25,ushl,youngstownphantoms,true,2,eliteprospects_pdf; wikipedia,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-106-tomas-poletin,2024-25,liiga,pelicans,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats
2025-110-yegor-borikov,2024-25,khl,dinamominsk,true,2,eliteprospects_pdf; open-stats,merged,,timing:open-stats; games:open-stats; goals:open-stats; assists:open-stats; points:open-stats
2025-139-zeb-lindgren,2024-25,shl,skellefteåaik,true,2,eliteprospects_pdf; wikipedia-career,merged,,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-144-ethan-wyttenbach,2024-25,ushl,siouxfallsstampede,true,2,eliteprospects_pdf; wikipedia-career,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-177-carlos-handel,2024-25,qmjhl,halifaxmooseheads,true,2,eliteprospects_pdf; wikipedia,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-198-jeremy-loranger,2024-25,bchl,sherwoodparkcrusaders,true,2,eliteprospects_pdf; wikipedia,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-201-kale-dach,2024-25,bchl,sherwoodparkcrusaders,true,2,eliteprospects_pdf; wikipedia,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-216-william-sharpe,2024-25,whl,kelownarockets,true,2,eliteprospects_pdf; wikipedia,merged_with_conflicts,games; goals; assists; points,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
2025-221-filip-ekberg,2024-25,ohl,ottawa67s,true,2,eliteprospects_pdf; wikipedia-career,merged,,timing:eliteprospects_pdf; games:eliteprospects_pdf; goals:eliteprospects_pdf; assists:eliteprospects_pdf; points:eliteprospects_pdf
