player_id,draft_year,horizon_years,outcome_through,nhl_games,nhl_points,nhl_toi_minutes,goalie_starts,value_proxy,source,source_id,source_url
2017-095-jack-rathbone,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480056,https://api-web.nhle.com/v1/player/8480056/landing
2017-096-maksim-zhukov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480040,https://api-web.nhle.com/v1/player/8480040/landing
2017-097-mason-shaw,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479972,https://api-web.nhle.com/v1/player/8479972/landing
2017-098-nikita-popugaev,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480006,https://api-web.nhle.com/v1/player/8480006/landing
2017-099-jacob-bryson,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480196,https://api-web.nhle.com/v1/player/8480196/landing
2017-100-malte-setkov,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480197,https://api-web.nhle.com/v1/player/8480197/landing
2017-101-liam-hawel,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480198,https://api-web.nhle.com/v1/player/8480198/landing
2017-102-scott-reedy,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480060,https://api-web.nhle.com/v1/player/8480060/landing
2017-103-mikey-anderson,2017,3,2020-06-30,6,1,108.9,0,,nhl_public_api,8479998,https://api-web.nhle.com/v1/player/8479998/landing
2017-104-eetu-makiniemi,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480199,https://api-web.nhle.com/v1/player/8480199/landing
2017-105-santeri-virtanen,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480200,https://api-web.nhle.com/v1/player/8480200/landing
2017-106-matthew-strome,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480017,https://api-web.nhle.com/v1/player/8480017/landing
2017-107-maksim-sushko,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480201,https://api-web.nhle.com/v1/player/8480201/landing
2017-108-noel-hoefenmayer,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480202,https://api-web.nhle.com/v1/player/8480202/landing
2017-109-adam-ruzicka,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480008,https://api-web.nhle.com/v1/player/8480008/landing
2017-110-ian-scott,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8479993,https://api-web.nhle.com/v1/player/8479993/landing
2017-111-jeremy-swayman,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480280,https://api-web.nhle.com/v1/player/8480280/landing
2017-112-tim-soderlund,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480203,https://api-web.nhle.com/v1/player/8480203/landing
2017-113-alexey-toropchenko,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480281,https://api-web.nhle.com/v1/player/8480281/landing
2017-114-petr-kvaca,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480282,https://api-web.nhle.com/v1/player/8480282/landing
2017-115-ostap-safin,2017,3,2020-06-30,0,0,0.0,0,,nhl_public_api,8480076,https://api-web.nhle.com/v1/player/8480076/landing
