player_id,season,league,team,games,goals,assists,points,age,timing,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
2024-038-ilya-nabokov,2023-24,KHL,Metallurg Magnitogorsk,43,0,0,0,,pre_draft,true,open-stats,2024-khl-regular-ilya-nabokov,https://en.wikipedia.org/wiki/Ilya_Nabokov,2231,,,80,0.930,2.15,23,13,3,3
2024-039-gabriel-eliasson,2023-24,Sweden Jrs.,HV 71,2,0,0,0,,pre_draft,false,swehockey,gabrieleliasson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,,,,,,,,,,
2024-039-gabriel-eliasson,2023-24,Sweden Jrs.,HV 71,36,1,5,6,,pre_draft,true,swehockey,gabrieleliasson@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,,,,,,,,,,
2024-040-julius-miettinen,2023-24,WHL,EVT,9,2,2,4,,pre_draft,false,chl,29398,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-040-julius-miettinen,2023-24,WHL,EVT,66,31,36,67,,pre_draft,true,chl,29398,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-041-andrew-basha,2023-24,WHL,MH,5,3,2,5,,pre_draft,false,chl,28949,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-041-andrew-basha,2023-24,WHL,MH,63,30,55,85,,pre_draft,true,chl,28949,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-042-adam-kleber,2023-24,USHL,LIN,5,1,1,2,,pre_draft,false,ushl,9858,https://ushl.com/ht/#/player/9858/84/Adam%20Kleber,,,,,,,,,,
2024-042-adam-kleber,2023-24,USHL,LIN,56,5,21,26,,pre_draft,true,ushl,9858,https://ushl.com/ht/#/player/9858/82/Adam%20Kleber,,,,,,,,,,
2024-043-cole-hutson,2023-24,USHL,NTDP,19,3,9,12,,pre_draft,true,ushl,9895,https://ushl.com/ht/#/player/9895/82/Cole%20Hutson,,,,,,,,,,
2024-044-harrison-brunicke,2023-24,WHL,KAM,49,10,11,21,,pre_draft,true,chl,28979,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-045-ryder-ritchie,2023-24,WHL,PA,5,3,4,7,,pre_draft,false,chl,29150,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-045-ryder-ritchie,2023-24,WHL,PA,47,19,25,44,,pre_draft,true,chl,29150,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-046-tanner-howe,2023-24,WHL,REG,68,28,49,77,,pre_draft,true,chl,28816,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-047-max-plante,2023-24,USHL,NTDP,25,6,23,29,,pre_draft,true,ushl,9887,https://ushl.com/ht/#/player/9887/82/Max%20Plante,,,,,,,,,,
2024-049-mikhail-yegorov,2023-24,USHL,OMA,43,0,0,0,,pre_draft,true,ushl,10122,https://ushl.com/ht/#/player/10122/82/Mikhail%20Yegorov,2117,1262,1126,136,0.892,3.86,8,25,3,1
2024-050-nikita-artamonov,2023-24,KHL,Torpedo Nizhny Novgorod,5,0,0,0,,pre_draft,false,open-stats,2024-khl-playoffs-nikita-artamonov,https://www.recruitscouting.com/recruitscoutings-2024-nhl-draft-guide/,,,,,,,,,,
2024-050-nikita-artamonov,2023-24,KHL,Torpedo Nizhny Novgorod,54,7,16,23,,pre_draft,true,open-stats,2024-khl-regular-nikita-artamonov,https://www.eliteprospects.com/team/200/torpedo-nizhny-novgorod/stats/2023-2024,,,,,,,,,,
2024-050-nikita-artamonov,2023-24,MHL,Chaika Nizhny Novgorod,11,6,4,10,,pre_draft,false,open-stats,2024-mhl-playoffs-nikita-artamonov,https://www.recruitscouting.com/recruitscoutings-2024-nhl-draft-guide/,,,,,,,,,,
2024-051-jack-berglund,2023-24,SHL,Färjestad BK,8,1,0,1,,pre_draft,true,swehockey,jackberglund,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,,,,,,,,,,
2024-051-jack-berglund,2023-24,Sweden Jrs.,Färjestad BK,2,1,0,1,,pre_draft,false,swehockey,jackberglund,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,,,,,,,,,,
2024-051-jack-berglund,2023-24,Sweden Jrs.,Färjestad BK,41,15,19,34,,pre_draft,true,swehockey,jackberglund@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,,,,,,,,,,
2024-053-leo-sahlin-wallenius,2023-24,Sweden Jrs.,Växjö Lakers HC,5,0,3,3,,pre_draft,false,swehockey,leosahlinwallenius,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,,,,,,,,,,
2024-053-leo-sahlin-wallenius,2023-24,Sweden Jrs.,Växjö Lakers HC,43,11,31,42,,pre_draft,true,swehockey,leosahlinwallenius@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,,,,,,,,,,
2024-055-teddy-stiga,2023-24,USHL,NTDP,27,18,20,38,,pre_draft,true,ushl,9879,https://ushl.com/ht/#/player/9879/82/Teddy%20Stiga,,,,,,,,,,
2024-056-lukas-fischer,2023-24,OHL,SAR,68,6,28,34,,pre_draft,true,chl,8881,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-057-carter-george,2023-24,OHL,OS,4,0,0,0,,pre_draft,false,chl,8819,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-057-carter-george,2023-24,OHL,OS,56,0,1,1,,pre_draft,true,chl,8819,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-058-linus-eriksson,2023-24,HockeyAllsvenskan,Djurgårdens IF,12,4,0,4,,pre_draft,false,swehockey,linuseriksson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15784,,,,,,,,,,
2024-058-linus-eriksson,2023-24,HockeyAllsvenskan,Djurgårdens IF,29,3,8,11,,pre_draft,true,swehockey,linuseriksson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14678,,,,,,,,,,
2024-058-linus-eriksson,2023-24,Sweden Jrs.,Djurgårdens IF,25,5,16,21,,pre_draft,true,swehockey,linuseriksson@14708+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14708,,,,,,,,,,
2024-059-spencer-gill,2023-24,QMJHL,Rim,5,0,5,5,,pre_draft,false,chl,19519,https://chl.ca/lhjmq/en/stats/players/206/all/points,,,,,,,,,,
2024-059-spencer-gill,2023-24,QMJHL,Rim,65,12,34,46,,pre_draft,true,chl,19519,https://chl.ca/lhjmq/en/stats/players/205/all/points,,,,,,,,,,
2024-060-evan-gardner,2023-24,WHL,SAS,15,0,1,1,,pre_draft,false,chl,28998,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-060-evan-gardner,2023-24,WHL,SAS,30,0,1,1,,pre_draft,true,chl,28998,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-061-kamil-bednarik,2023-24,USHL,NTDP,27,11,19,30,,pre_draft,true,ushl,9881,https://ushl.com/ht/#/player/9881/82/Kamil%20Bednarik,,,,,,,,,,
2024-062-jacob-battaglia,2023-24,OHL,KGN,5,3,1,4,,pre_draft,false,chl,8764,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-062-jacob-battaglia,2023-24,OHL,KGN,67,31,34,65,,pre_draft,true,chl,8764,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-063-nathan-villeneuve,2023-24,OHL,SBY,9,2,1,3,,pre_draft,false,chl,8776,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-063-nathan-villeneuve,2023-24,OHL,SBY,56,23,27,50,,pre_draft,true,chl,8776,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-065-will-skahan,2023-24,USHL,NTDP,24,4,2,6,,pre_draft,true,ushl,9894,https://ushl.com/ht/#/player/9894/82/Will%20Skahan,,,,,,,,,,
2024-066-maxim-mass,2023-24,QMJHL,Chi,8,3,3,6,,pre_draft,false,chl,19517,https://chl.ca/lhjmq/en/stats/players/206/all/points,,,,,,,,,,
2024-066-maxim-mass,2023-24,QMJHL,Chi,67,36,39,75,,pre_draft,true,chl,19517,https://chl.ca/lhjmq/en/stats/players/205/all/points,,,,,,,,,,
2024-067-john-mustard,2023-24,USHL,WAT,2,0,0,0,,pre_draft,false,ushl,10205,https://ushl.com/ht/#/player/10205/84/John%20Mustard,,,,,,,,,,
2024-067-john-mustard,2023-24,USHL,WAT,60,29,27,56,,pre_draft,true,ushl,10205,https://ushl.com/ht/#/player/10205/82/John%20Mustard,,,,,,,,,,
2024-068-ethan-procyszyn,2023-24,OHL,NB,16,2,4,6,,pre_draft,false,chl,8721,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-068-ethan-procyszyn,2023-24,OHL,NB,62,15,21,36,,pre_draft,true,chl,8721,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-069-noel-frans-n,2023-24,SHL,Färjestad BK,4,1,0,1,,pre_draft,true,swehockey,noelfransen,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14677,,,,,,,,,,
2024-069-noel-frans-n,2023-24,Sweden Jrs.,Färjestad BK,2,0,1,1,,pre_draft,false,swehockey,noelfransen,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,,,,,,,,,,
2024-069-noel-frans-n,2023-24,Sweden Jrs.,Färjestad BK,45,20,24,44,,pre_draft,true,swehockey,noelfransen@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,,,,,,,,,,
2024-071-brodie-ziemer,2023-24,USHL,NTDP,27,8,16,24,,pre_draft,true,ushl,9883,https://ushl.com/ht/#/player/9883/82/Brodie%20Ziemer,,,,,,,,,,
2024-072-anthony-aj-spellacy,2023-24,OHL,WSR,67,21,17,38,,pre_draft,true,chl,8710,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-073-alexis-bernier,2023-24,QMJHL,BaC,17,1,8,9,,pre_draft,false,chl,19535,https://chl.ca/lhjmq/en/stats/players/206/all/points,,,,,,,,,,
2024-073-alexis-bernier,2023-24,QMJHL,BaC,67,4,27,31,,pre_draft,true,chl,19535,https://chl.ca/lhjmq/en/stats/players/205/all/points,,,,,,,,,,
2024-074-henry-mews,2023-24,OHL,OTT,10,2,3,5,,pre_draft,false,chl,8716,https://chl.ca/ohl/stats/players/77/all/points,,,,,,,,,,
2024-074-henry-mews,2023-24,OHL,OTT,65,15,46,61,,pre_draft,true,chl,8716,https://chl.ca/ohl/stats/players/76/all/points,,,,,,,,,,
2024-075-ilya-protas,2023-24,USHL,DM,61,14,37,51,,pre_draft,true,ushl,10064,https://ushl.com/ht/#/player/10064/82/Ilya%20Protas,,,,,,,,,,
2024-077-viggo-gustafsson,2023-24,Sweden Jrs.,HV 71,2,0,0,0,,pre_draft,false,swehockey,viggogustafsson,https://stats.swehockey.se/Teams/Info/PlayersByTeam/15769,,,,,,,,,,
2024-077-viggo-gustafsson,2023-24,Sweden Jrs.,HV 71,41,3,16,19,,pre_draft,true,swehockey,viggogustafsson@14709+15645,https://stats.swehockey.se/Teams/Info/PlayersByTeam/14709,,,,,,,,,,
2024-079-tarin-smith,2023-24,WHL,EVT,8,1,4,5,,pre_draft,false,chl,29078,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-079-tarin-smith,2023-24,WHL,EVT,67,8,36,44,,pre_draft,true,chl,29078,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-080-ondrej-becher,2023-24,WHL,PG,15,5,14,19,,pre_draft,false,chl,29267,https://chl.ca/whl/stats/players/284/all/points,,,,,,,,,,
2024-080-ondrej-becher,2023-24,WHL,PG,58,32,64,96,,pre_draft,true,chl,29267,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-082-carson-wetsch,2023-24,WHL,CGY,67,25,25,50,,pre_draft,true,chl,29129,https://chl.ca/whl/stats/players/281/all/points,,,,,,,,,,
2024-084-kirill-zarubin,2023-24,MHL,AKM-Yunior Tula,16,0,0,0,,pre_draft,true,open-stats,2024-mhl-regular-akm-kirill-zarubin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150919,876,644,581,63,0.902,4.32,4,11,,0
