player_id,name,matched,source_name,source_id,source_url,team,games,goals,assists,points,regular_season
2024-115-dmitry-gamzin,Dmitry Gamzin,false,,,,,,,,,
2024-116-christian-kirsch,Christian Kirsch,false,,,,,,,,,
2024-117-blake-montgomery,Blake Montgomery,true,Blake Montgomery,10113,https://ushl.com/ht/#/player/10113/84/Blake%20Montgomery,LIN,5,0,1,1,false
2024-117-blake-montgomery,Blake Montgomery,true,Blake Montgomery,10113,https://ushl.com/ht/#/player/10113/82/Blake%20Montgomery,LIN,58,22,21,43,true
2024-118-jan-golicic,Jan Golicic,false,,,,,,,,,
2024-119-raoul-boilard,Raoul Boilard,false,,,,,,,,,
2024-120-victor-johansson,Victor Johansson,false,,,,,,,,,
2024-121-jake-fisher,Jake Fisher,true,Jake Fisher,9909,https://ushl.com/ht/#/player/9909/84/Jake%20Fisher,FGO,12,4,2,6,false
2024-121-jake-fisher,Jake Fisher,true,Jake Fisher,9909,https://ushl.com/ht/#/player/9909/82/Jake%20Fisher,FGO,51,23,24,47,true
2024-122-aron-kiviharju,Aron Kiviharju,false,,,,,,,,,
2024-123-simon-pier-brunet,Simon-Pier Brunet,false,,,,,,,,,
2024-124-alexander-siryatsky,Alexander Siryatsky,false,,,,,,,,,
2024-125-riley-patterson,Riley Patterson,false,,,,,,,,,
2024-126-landon-miller,Landon Miller,false,,,,,,,,,
2024-127-viktor-norringer,Viktor Norringer,false,,,,,,,,,
2024-128-hagen-burrows,Hagen Burrows,false,,,,,,,,,
2024-129-simon-zether,Simon Zether,false,,,,,,,,,
2024-130-tyler-thorpe,Tyler Thorpe,false,,,,,,,,,
2024-131-colton-roberts,Colton Roberts,false,,,,,,,,,
2024-132-louka-cloutier,Louka Cloutier,true,Louka Cloutier,10222,https://ushl.com/ht/#/player/10222/84/Louka%20Cloutier,CHI,2,,,,false
2024-132-louka-cloutier,Louka Cloutier,true,Louka Cloutier,10222,https://ushl.com/ht/#/player/10222/84/Louka%20Cloutier,CHI,2,0,0,0,false
2024-132-louka-cloutier,Louka Cloutier,true,Louka Cloutier,10222,https://ushl.com/ht/#/player/10222/82/Louka%20Cloutier,CHI,34,,,,true
2024-132-louka-cloutier,Louka Cloutier,true,Louka Cloutier,10222,https://ushl.com/ht/#/player/10222/82/Louka%20Cloutier,CHI,34,0,0,0,true
2024-133-oskar-vuollet,Oskar Vuollet,false,,,,,,,,,
2024-134-mikus-vecvanags,Mikus Vecvanags,false,,,,,,,,,
2024-135-owen-allard,Owen Allard,false,,,,,,,,,
2024-136-eerik-wallenius,Eerik Wallenius,false,,,,,,,,,
2024-137-ivan-yunin,Ivan Yunin,false,,,,,,,,,
2024-138-joel-svensson,Joel Svensson,false,,,,,,,,,
2024-139-max-graham,Max Graham,false,,,,,,,,,
2024-140-sebastian-soini,Sebastian Soini,false,,,,,,,,,
2024-141-clarke-caswell,Clarke Caswell,false,,,,,,,,,
2024-142-chase-wutzke,Chase Wutzke,false,,,,,,,,,
2024-143-nate-misskey,Nate Misskey,false,,,,,,,,,
2024-144-john-whipple,John Whipple,true,John Whipple,9890,https://ushl.com/ht/#/player/9890/82/John%20Whipple,NTDP,27,1,3,4,true
2024-145-william-mcisaac,William McIsaac,false,,,,,,,,,
2024-146-veeti-louhivaara,Veeti Louhivaara,false,,,,,,,,,
2024-147-marcus-gidl-f,Marcus Gidlöf,false,,,,,,,,,
2024-148-noah-powell,Noah Powell,true,Noah Powell,9654,https://ushl.com/ht/#/player/9654/84/Noah%20Powell,DBQ,11,2,3,5,false
2024-148-noah-powell,Noah Powell,true,Noah Powell,9654,https://ushl.com/ht/#/player/9654/82/Noah%20Powell,DBQ,61,43,31,74,true
2024-149-joona-saarelainen,Joona Saarelainen,false,,,,,,,,,
2024-150-luke-misa,Luke Misa,false,,,,,,,,,
2024-151-miroslav-holinka,Miroslav Holinka,false,,,,,,,,,
2024-152-alexander-plesovskikh,Alexander Plesovskikh,false,,,,,,,,,
2024-153-ales-cech,Ales Cech,false,,,,,,,,,
2024-154-jonathan-morello,Jonathan Morello,false,,,,,,,,,
2024-155-markus-loponen,Markus Loponen,false,,,,,,,,,
2024-156-justin-poirier,Justin Poirier,false,,,,,,,,,
2024-157-timofei-obvintsev,Timofei Obvintsev,false,,,,,,,,,
2024-158-niilopekka-muhonen,Niilopekka Muhonen,false,,,,,,,,,
2024-159-nathan-aspinall,Nathan Aspinall,false,,,,,,,,,
2024-160-connor-clattenburg,Connor Clattenburg,false,,,,,,,,,
2024-161-maxmilian-curran,Maxmilian Curran,false,,,,,,,,,
2024-162-anthony-romani,Anthony Romani,false,,,,,,,,,
2024-163-ty-henry,Ty Henry,false,,,,,,,,,
2024-164-jared-woolley,Jared Woolley,false,,,,,,,,,
2024-165-luke-ashton,Luke Ashton,false,,,,,,,,,
2024-166-ben-merrill,Ben Merrill,false,,,,,,,,,
2024-167-vojtech-hradec,Vojtech Hradec,false,,,,,,,,,
2024-168-timur-kol,Timur Kol,false,,,,,,,,,
2024-169-stepan-gorbunov,Stepan Gorbunov,false,,,,,,,,,
2024-170-hunter-laing,Hunter Laing,false,,,,,,,,,
2024-171-matyas-melovsky,Matyas Melovsky,false,,,,,,,,,
