player_id,name,matched,source_name,source,source_id,source_url,league,team,games,goals,assists,points,regular_season
2024-124-alexander-siryatsky,Alexander Siryatsky,true,Alexander Siryatsky,canes-prospect-bio,2024-mhl-regular-alexander-siryatsky,https://canespr.com/alexandersiryatsky/,MHL,Stalnye Lisy Magnitogorsk,36,5,14,19,true
2024-124-alexander-siryatsky,Alexander Siryatsky,true,Alexander Siryatsky,canes-prospect-bio,2024-mhl-playoffs-alexander-siryatsky,https://canespr.com/alexandersiryatsky/,MHL,Stalnye Lisy Magnitogorsk,6,0,4,4,false
2024-125-riley-patterson,Riley Patterson,false,,,,,,,,,,,
2024-126-landon-miller,Landon Miller,false,,,,,,,,,,,
2024-127-viktor-norringer,Viktor Norringer,false,,,,,,,,,,,
2024-128-hagen-burrows,Hagen Burrows,false,,,,,,,,,,,
2024-129-simon-zether,Simon Zether,false,,,,,,,,,,,
2024-130-tyler-thorpe,Tyler Thorpe,false,,,,,,,,,,,
2024-131-colton-roberts,Colton Roberts,false,,,,,,,,,,,
2024-132-louka-cloutier,Louka Cloutier,false,,,,,,,,,,,
2024-133-oskar-vuollet,Oskar Vuollet,false,,,,,,,,,,,
2024-134-mikus-vecvanags,Mikus Vecvanags,false,,,,,,,,,,,
2024-135-owen-allard,Owen Allard,false,,,,,,,,,,,
2024-136-eerik-wallenius,Eerik Wallenius,false,,,,,,,,,,,
2024-137-ivan-yunin,Ivan Yunin,true,Ivan Yunin,quanthockey-player-goalie,2024-mhl-regular-ivan-yunin,https://www.quanthockey.com/hockey-stats/en/profile.php?player=150855,MHL,Omskie Yastreby,6,0,0,0,true
2024-138-joel-svensson,Joel Svensson,false,,,,,,,,,,,
2024-139-max-graham,Max Graham,false,,,,,,,,,,,
2024-140-sebastian-soini,Sebastian Soini,false,,,,,,,,,,,
2024-141-clarke-caswell,Clarke Caswell,false,,,,,,,,,,,
2024-142-chase-wutzke,Chase Wutzke,false,,,,,,,,,,,
2024-143-nate-misskey,Nate Misskey,false,,,,,,,,,,,
2024-144-john-whipple,John Whipple,false,,,,,,,,,,,
2024-145-william-mcisaac,William McIsaac,false,,,,,,,,,,,
2024-146-veeti-louhivaara,Veeti Louhivaara,false,,,,,,,,,,,
2024-147-marcus-gidl-f,Marcus Gidlöf,false,,,,,,,,,,,
2024-148-noah-powell,Noah Powell,false,,,,,,,,,,,
2024-149-joona-saarelainen,Joona Saarelainen,false,,,,,,,,,,,
2024-150-luke-misa,Luke Misa,false,,,,,,,,,,,
2024-151-miroslav-holinka,Miroslav Holinka,false,,,,,,,,,,,
2024-152-alexander-plesovskikh,Alexander Plesovskikh,true,Alexander Plesovskikh,quanthockey-team,2024-mhl-regular-alexander-plesovskikh,https://www.quanthockey.com/mhl/en/teams/mamonty-yugry-players-2023-24-mhl-stats.html,MHL,Mamonty Yugry,33,8,9,17,true
2024-153-ales-cech,Ales Cech,false,,,,,,,,,,,
2024-154-jonathan-morello,Jonathan Morello,false,,,,,,,,,,,
2024-155-markus-loponen,Markus Loponen,false,,,,,,,,,,,
2024-156-justin-poirier,Justin Poirier,false,,,,,,,,,,,
2024-157-timofei-obvintsev,Timofei Obvintsev,true,Timofei Obvintsev,quanthockey-player-goalie,2024-mhl-regular-timofei-obvintsev,https://www.quanthockey.com/hockey-stats/en/profile.php?player=134949,MHL,Krasnaya Armiya Moscow,16,0,0,0,true
2024-157-timofei-obvintsev,Timofei Obvintsev,true,Timofei Obvintsev,quanthockey-player-goalie,2024-mhl-playoffs-timofei-obvintsev,https://www.quanthockey.com/hockey-stats/en/profile.php?player=134949,MHL,Krasnaya Armiya Moscow,2,0,0,0,false
2024-158-niilopekka-muhonen,Niilopekka Muhonen,false,,,,,,,,,,,
2024-159-nathan-aspinall,Nathan Aspinall,false,,,,,,,,,,,
2024-160-connor-clattenburg,Connor Clattenburg,false,,,,,,,,,,,
2024-161-maxmilian-curran,Maxmilian Curran,false,,,,,,,,,,,
2024-162-anthony-romani,Anthony Romani,false,,,,,,,,,,,
2024-163-ty-henry,Ty Henry,false,,,,,,,,,,,
2024-164-jared-woolley,Jared Woolley,false,,,,,,,,,,,
2024-165-luke-ashton,Luke Ashton,false,,,,,,,,,,,
2024-166-ben-merrill,Ben Merrill,false,,,,,,,,,,,
2024-167-vojtech-hradec,Vojtech Hradec,false,,,,,,,,,,,
2024-168-timur-kol,Timur Kol,true,Timur Kol,quanthockey-player,2024-khl-regular-timur-kol,https://www.quanthockey.com/hockey-stats/en/profile.php?player=151212,KHL,Avangard Omsk,2,0,0,0,true
