player_id,name,birth_date,nationality,position,handedness,height_cm,weight_kg,age_at_draft,source,source_id,source_url
2017-098-nikita-popugaev,Nikita Popugaev,,RUS,LW,,196,99,,nhl_draft_api,2017-98,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-099-jacob-bryson,Jacob Bryson,,CAN,D,,173,81,,nhl_draft_api,2017-99,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-100-malte-setkov,Malte Setkov,,DNK,D,,188,75,,nhl_draft_api,2017-100,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-101-liam-hawel,Liam Hawel,,CAN,C,,190,79,,nhl_draft_api,2017-101,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-102-scott-reedy,Scott Reedy,,USA,C,,185,91,,nhl_draft_api,2017-102,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-103-mikey-anderson,Mikey Anderson,,USA,D,,180,89,,nhl_draft_api,2017-103,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-104-eetu-makiniemi,Eetu Makiniemi,,FIN,G,,188,80,,nhl_draft_api,2017-104,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-105-santeri-virtanen,Santeri Virtanen,,FIN,C,,185,88,,nhl_draft_api,2017-105,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-106-matthew-strome,Matthew Strome,,CAN,LW,,190,94,,nhl_draft_api,2017-106,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-107-maksim-sushko,Maksim Sushko,,BLR,RW,,180,82,,nhl_draft_api,2017-107,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-108-noel-hoefenmayer,Noel Hoefenmayer,,CAN,D,,183,87,,nhl_draft_api,2017-108,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-109-adam-ruzicka,Adam Ruzicka,,SVK,C,,190,95,,nhl_draft_api,2017-109,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-110-ian-scott,Ian Scott,,CAN,G,,190,77,,nhl_draft_api,2017-110,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-111-jeremy-swayman,Jeremy Swayman,,USA,G,,185,85,,nhl_draft_api,2017-111,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-112-tim-soderlund,Tim Soderlund,,SWE,C/LW,,175,74,,nhl_draft_api,2017-112,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-113-alexey-toropchenko,Alexey Toropchenko,,RUS,RW,,190,85,,nhl_draft_api,2017-113,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-114-petr-kvaca,Petr Kvaca,,CZE,G,,185,79,,nhl_draft_api,2017-114,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-115-ostap-safin,Ostap Safin,,CZE,RW,,196,87,,nhl_draft_api,2017-115,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-116-bryce-misley,Bryce Misley,,CAN,C,,185,84,,nhl_draft_api,2017-116,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-117-emil-bemstrom,Emil Bemstrom,,SWE,C,,178,80,,nhl_draft_api,2017-117,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-118-markus-phillips,Markus Phillips,,CAN,D,,180,92,,nhl_draft_api,2017-118,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-119-roope-laavainen,Roope Laavainen,,FIN,D,,185,91,,nhl_draft_api,2017-119,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-120-tobias-geisser,Tobias Geisser,,CHE,D,,193,91,,nhl_draft_api,2017-120,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-121-drake-batherson,Drake Batherson,,USA,C,,185,85,,nhl_draft_api,2017-121,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-122-kyle-olson,Kyle Olson,,CAN,RW,,178,73,,nhl_draft_api,2017-122,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-123-brandon-crawley,Brandon Crawley,,USA,D,,185,92,,nhl_draft_api,2017-123,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-124-vladislav-kara,Vladislav Kara,,RUS,LW,,188,85,,nhl_draft_api,2017-124,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-125-igor-shvyrev,Igor Shvyrev,,RUS,C,,185,87,,nhl_draft_api,2017-125,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-126-michael-karow,Michael Karow,,USA,D,,185,91,,nhl_draft_api,2017-126,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-127-lucas-elvenes,Lucas Elvenes,,SWE,C/RW,,183,78,,nhl_draft_api,2017-127,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-128-tyler-steenbergen,Tyler Steenbergen,,CAN,C,,178,85,,nhl_draft_api,2017-128,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-129-gilles-senn,Gilles Senn,,CHE,G,,196,87,,nhl_draft_api,2017-129,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-130-david-noel,David Noel,,CAN,D,,185,79,,nhl_draft_api,2017-130,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-131-cole-fraser,Cole Fraser,,CAN,D,,188,88,,nhl_draft_api,2017-131,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-132-jacob-peterson,Jacob Peterson,,SWE,C,,183,75,,nhl_draft_api,2017-132,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-133-tyler-inamoto,Tyler Inamoto,,USA,D,,185,87,,nhl_draft_api,2017-133,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-134-cole-hults,Cole Hults,,USA,D,,183,86,,nhl_draft_api,2017-134,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-135-kristoffer-gunnarsson,Kristoffer Gunnarsson,,SWE,D,,185,93,,nhl_draft_api,2017-135,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-136-leon-gawanke,Leon Gawanke,,DEU,D,,183,84,,nhl_draft_api,2017-136,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-137-noah-cates,Noah Cates,,USA,LW,,183,75,,nhl_draft_api,2017-137,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-138-drake-rymsha,Drake Rymsha,,USA,C,,180,85,,nhl_draft_api,2017-138,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-139-sebastian-aho,Sebastian Aho,,SWE,D,,178,80,,nhl_draft_api,2017-139,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-140-zach-fischer,Zach Fischer,,CAN,RW,,185,89,,nhl_draft_api,2017-140,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-141-fedor-gordeev,Fedor Gordeev,,CAN,D,,198,96,,nhl_draft_api,2017-141,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-142-jack-dugan,Jack Dugan,,USA,LW,,188,84,,nhl_draft_api,2017-142,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-143-mari-n-studenic,Marián Studenic,,SVK,RW,,183,74,,nhl_draft_api,2017-143,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-144-parker-foo,Parker Foo,,CAN,LW,,183,78,,nhl_draft_api,2017-144,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-145-calle-sjalin,Calle Sjalin,,SWE,D,,185,81,,nhl_draft_api,2017-145,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-146-kirill-maksimov,Kirill Maksimov,,RUS,RW,,188,87,,nhl_draft_api,2017-146,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-147-jacob-golden,Jacob Golden,,CAN,D,,180,74,,nhl_draft_api,2017-147,https://api-web.nhle.com/v1/draft/picks/2017/all
2017-148-kale-howarth,Kale Howarth,,CAN,LW,,196,94,,nhl_draft_api,2017-148,https://api-web.nhle.com/v1/draft/picks/2017/all
