player_id,draft_year,source,rank,scope,position,source_id,source_url
2016-075-jack-lafontaine,2016,draft_slot_proxy,75,all_drafted_players,G,2016-75,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-076-rem-pitlick,2016,draft_slot_proxy,76,all_drafted_players,C,2016-76,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-077-connor-hall,2016,draft_slot_proxy,77,all_drafted_players,D,2016-77,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-078-frederic-allard,2016,draft_slot_proxy,78,all_drafted_players,D,2016-78,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-079-luke-green,2016,draft_slot_proxy,79,all_drafted_players,D,2016-79,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-080-brandon-gignac,2016,draft_slot_proxy,80,all_drafted_players,C,2016-80,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-081-sean-day,2016,draft_slot_proxy,81,all_drafted_players,D,2016-81,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-082-carsen-twarynski,2016,draft_slot_proxy,82,all_drafted_players,LW,2016-82,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-083-wouter-peeters,2016,draft_slot_proxy,83,all_drafted_players,G,2016-83,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-084-matthew-cairns,2016,draft_slot_proxy,84,all_drafted_players,D,2016-84,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-085-joshua-mahura,2016,draft_slot_proxy,85,all_drafted_players,D,2016-85,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-086-casey-fitzgerald,2016,draft_slot_proxy,86,all_drafted_players,D,2016-86,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-087-garrett-pilon,2016,draft_slot_proxy,87,all_drafted_players,C,2016-87,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-088-connor-ingram,2016,draft_slot_proxy,88,all_drafted_players,G,2016-88,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-089-linus-nassen,2016,draft_slot_proxy,89,all_drafted_players,D,2016-89,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-090-fredrik-karlstrom,2016,draft_slot_proxy,90,all_drafted_players,C,2016-90,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-091-filip-berglund,2016,draft_slot_proxy,91,all_drafted_players,D,2016-91,https://api-web.nhle.com/v1/draft/picks/2016/all
2016-092-adam-brooks,2016,draft_slot_proxy,92,all_drafted_players,C,2016-92,https://api-web.nhle.com/v1/draft/picks/2016/all
