name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Artyom Matyuk,2025-26,MHL,Chaika Nizhny Novgorod,11,2,6,8,false,eliteprospects-league,2026-mhl-playoffs-artyom-matyuk,https://www.eliteprospects.com/league/mhl/stats/2025-2026/playoffs,,,,,,,,,,
Matvei Kotkov,2025-26,MHL,Loko Yaroslavl,37,14,17,31,true,eliteprospects-league,2026-mhl-regular-matvei-kotkov,https://www.eliteprospects.com/league/mhl/stats/2025-2026,,,,,,,,,,
Matvei Kotkov,2025-26,MHL,Loko Yaroslavl,18,9,6,15,false,eliteprospects-league,2026-mhl-playoffs-matvei-kotkov,https://www.eliteprospects.com/league/mhl/stats/2025-2026/playoffs,,,,,,,,,,
Alexander Grunin,2025-26,MHL,Sibirskie Snaipery Novosibirsk,44,6,9,15,true,eliteprospects-league,2026-mhl-regular-alexander-grunin,https://www.eliteprospects.com/league/mhl/stats/2025-2026,,,,,,,,,,
Yaroslav Fedoseyev,2025-26,MHL,Belye Medvedi Chelyabinsk,24,2,11,13,true,eliteprospects-league,2026-mhl-regular-yaroslav-fedoseyev,https://www.eliteprospects.com/league/mhl/stats/2025-2026,,,,,,,,,,
Yaroslav Fedoseyev,2025-26,KHL,Traktor Chelyabinsk,6,1,0,1,true,eliteprospects-league,2026-khl-regular-yaroslav-fedoseyev,https://www.eliteprospects.com/league/khl/stats/2025-2026,,,,,,,,,,
Viktor Fedorov,2025-26,MHL,Chaika Nizhny Novgorod,18,3,7,10,true,eliteprospects-league,2026-mhl-regular-viktor-fyodorov,https://www.eliteprospects.com/league/mhl/stats/2025-2026,,,,,,,,,,
Viktor Fedorov,2025-26,MHL,Chaika Nizhny Novgorod,17,6,4,10,false,eliteprospects-league,2026-mhl-playoffs-viktor-fyodorov,https://www.eliteprospects.com/league/mhl/stats/2025-2026/playoffs,,,,,,,,,,
Viktor Fedorov,2025-26,VHL,Torpedo-Gorky NN,32,2,6,8,true,flashscore,2026-vhl-regular-viktor-fyodorov,https://www.flashscore.ca/player/fyodorov-viktor/WYRc0Qo9/,,,,,,,,,,
Viktor Fedorov,2025-26,KHL,Torpedo Nizhny Novgorod,13,1,3,4,true,eliteprospects-league,2026-khl-regular-viktor-fyodorov,https://www.eliteprospects.com/league/khl/stats/2025-2026,,,,,,,,,,
Alexander Ivanov,2025-26,VHL,Bars Kazan,34,0,2,2,true,eliteprospects-league,2026-vhl-regular-alexander-ivanov,https://www.eliteprospects.com/league/vhl/stats/2025-2026,,,,,,,,,,
Alexander Ivanov,2025-26,KHL,Ak Bars Kazan,7,0,0,0,true,eliteprospects-league,2026-khl-regular-alexander-ivanov,https://www.eliteprospects.com/league/khl/stats/2025-2026,,,,,,,,,,
Gleb Pugachyov,2025-26,MHL,Chaika Nizhny Novgorod,16,3,6,9,false,eliteprospects-league,2026-mhl-playoffs-gleb-pugachyov,https://www.eliteprospects.com/league/mhl/stats/2025-2026/playoffs,,,,,,,,,,
Gleb Peshkov,2025-26,MHL,Taifun Primorsky Krai,47,0,0,0,true,eliteprospects-league-goalie,2026-mhl-regular-gleb-peshkov,https://www.eliteprospects.com/league/mhl/stats/2025-2026?tab=goalies,2710,1305,1213,92,0.930,2.04,22,15,8,5
Dmitri Borichev,2025-26,MHL,Loko-76 Yaroslavl,24,0,0,0,true,eliteprospects-league-goalie,2026-mhl-regular-dmitri-borichev,https://www.eliteprospects.com/league/mhl/stats/2025-2026?tab=goalies,1333,700,650,50,0.929,2.25,12,8,3,3
Yuri Ivanov,2025-26,MHL,MHK Spartak Moskva,26,0,0,0,true,eliteprospects-league-goalie,2026-mhl-regular-yuri-ivanov,https://www.eliteprospects.com/league/mhl/stats/2025-2026?tab=goalies,1476,875,810,65,0.926,2.64,16,9,1,0
Yuri Ivanov,2025-26,MHL,MHK Spartak Moskva,16,0,0,0,false,eliteprospects-league-goalie,2026-mhl-playoffs-yuri-ivanov,https://www.eliteprospects.com/league/mhl/stats/2025-2026/playoffs?tab=goalies,808,403,374,29,0.928,2.15,6,5,1,1
Dmitri Ivchenko,2025-26,MHL,Omskie Yastreby,19,0,0,0,true,eliteprospects-league-goalie,2026-mhl-regular-dmitri-ivchenko,https://www.eliteprospects.com/league/mhl/stats/2025-2026?tab=goalies,1101,449,414,35,0.922,1.91,11,5,1,4
Vladimir Proskurin,2025-26,MHL,MHK Atlant Mytishchi,41,0,0,0,true,eliteprospects-league-goalie,2026-mhl-regular-vladimir-proskurin,https://www.eliteprospects.com/league/mhl/stats/2025-2026?tab=goalies,2183,1374,1266,108,0.921,2.97,14,21,1,2
Yegor Rybkin,2025-26,MHL,Chaika Nizhny Novgorod,11,0,0,0,true,eliteprospects-league-goalie,2026-mhl-regular-yegor-rybkin,https://www.eliteprospects.com/league/mhl/stats/2025-2026?tab=goalies,491,246,225,21,0.915,2.56,5,2,0,0
