name,season,league,team,games,goals,assists,points,regular_season,source,source_id,source_url,goalie_minutes,shots_against,saves,goals_against,save_percentage,goals_against_average,wins,losses,ties,shutouts
Nikita Chibrikov,2020-21,KHL,SKA St. Petersburg,16,1,1,2,true,nhl-prospect-bios,2021-khl-regular-nikita-chibrikov,https://media.nhl.com/site/asset/public/ext/nhl%20stats/ProspectBios2021_Text.pdf,,,,,,,,,,
Nikita Chibrikov,2020-21,VHL,SKA-Neva St. Petersburg,20,3,5,8,true,nhl-prospect-bios,2021-vhl-regular-nikita-chibrikov,https://media.nhl.com/site/asset/public/ext/nhl%20stats/ProspectBios2021_Text.pdf,,,,,,,,,,
Nikita Chibrikov,2020-21,MHL,SKA-1946 St. Petersburg,11,3,6,9,true,nhl-prospect-bios,2021-mhl-regular-nikita-chibrikov,https://media.nhl.com/site/asset/public/ext/nhl%20stats/ProspectBios2021_Text.pdf,,,,,,,,,,
Nikita Guslistov,2020-21,KHL,Severstal Cherepovets,28,5,2,7,true,nhl-central-scouting,2021-khl-regular-nikita-guslistov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Nikita Novikov,2020-21,MHL,MHC Dynamo Moscow,52,4,10,14,true,nhl-central-scouting,2021-mhl-regular-nikita-novikov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Nikolai Makarov,2020-21,MHL,Krasnaya Armiya Moscow,40,0,5,5,true,nhl-central-scouting,2021-mhl-regular-nikolai-makarov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Prokhor Poltapov,2020-21,MHL,Krasnaya Armiya Moscow,61,25,27,52,true,nhl-central-scouting,2021-mhl-regular-prokhor-poltapov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Semyon Vyazovoi,2020-21,MHL,Tolpar Ufa,26,0,0,0,true,nhl-central-scouting,2021-mhl-regular-semyon-vyazovoi,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Goalies%20-%202021%20NHL%20Draft%20Rankings.pdf,1454,,,,.939,2.06,14,9,1,3
Stiven Sardarian,2020-21,MHL,Krasnaya Armiya Moscow,50,9,21,30,true,nhl-central-scouting,2021-mhl-regular-stiven-sardarian,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Vladislav Lukashevich,2020-21,MHL,Loko Yaroslavl,36,3,16,19,true,nhl-central-scouting,2021-mhl-regular-vladislav-lukashevich,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
Vyacheslav Peksa,2020-21,MHL,Irbis Kazan,17,0,0,0,true,quanthockey-player,2021-mhl-regular-vyacheslav-peksa,https://www.quanthockey.com/hockey-stats/en/profile.php?player=108307,841,397,361,36,.909,2.57,8,5,,1
Yegor Naumov,2020-21,MHL,Krylya Sovetov Moscow,9,0,0,0,true,krylya-sovetov-stats,2021-mhl-regular-yegor-naumov,https://hc-ks.ru/stats.asp?season=2021MEN-2,378,161,143,18,.888,2.86,,,,0
Zakhar Bardakov,2020-21,KHL,Vityaz Podolsk,44,8,3,11,true,nhl-central-scouting,2021-khl-regular-zakhar-bardakov,https://media.nhl.com/site/vasset/public/attachments/2021/05/14983/ITL%20Skaters%20-%202021%20Draft%20Rankings.pdf,,,,,,,,,,
